"Because of this Award, I am more...",CODE
confident in my ability with computers. It made really understand that if i go for something I can accomplish it.,C
Confident in my computing schools and in possibly pursuing a computing career.,C
willing to share my accomplishments. ,C
Confident,C
confident that I have a supportive community of likeminded people passionate about computing that I could turn to if I had any questions/concerns.,C
"confident in my computing ability, and more interested in pursuing a career in computer science.",C
Positive about myself and what I can accomplish.,C
,
Encouraged to pursue computer science as I join college for the 2018-19 year.,E
motivated to continue in pursuing computer science as a career.,M
Motivated,M
,
,
interested in computing. ,I
,
,
,
"I'm more confident that a career in computing is the right thing for me to do in the future because I really enjoy it, and I have experience in it. ",C
,
confident in pursuing a career in computer science.,C
,
aware of where I truly stand in terms of my computing accomplishments ,A
,
I feel more confident that I will be able to excel in my chosen career choice.,C
,
confident in my skills.,C
I am more confident in myself in trying new things.,C
Confident,C
,
confident to pursue a career in computer science,C
"Because of this Award, I am more ambitious and confident about pursuing a career in computing and in taking on computer science at the Georgia Institute of Technology, which has a reputation for being an incredibly difficult program.",C
Determined to work hard and continue on my path in computer science. I hope to one day influence other young women as well.,M
Confident in my ability to do well in a predominantly male field. ,C
,
"knowledgeable about the computing world, particularly for women.",A
,
Strong and outgoing ,C
inclined to try to get more involved with computing.,E
,
,
,
likely to join the AP computer science class in my school,M
"Because of this Award, I am more confident in my skills. It is one thing to think that you are competent, but it is something else when another organization or people whom you've never met before assess your accomplishments and skills and confirm what you were hesitant to believe about yourself.",C
,
Passionate and interested in a career in Computer Science and Engineering.,I
,
Likely to pursue other Awards and encourage others to do the same,M
Aware of my future careers and opportunities.,A
Confident in my computing abilities.,C
confident,C
,
,
Confident in pursuing a field in technology. ,C
Confident in myself,C
Confident in my ability to perform and be recognized.,C
connected to opportunities that will help me in schooling options and career choices.,CN
Aware of the beauty of computer programming and what a helpful skill it is to be able to code. I am also more aware of my passion for computer science and I have more interest in pursuing a career with technology. ,A
,
confident. ,C
,
confident in my abilities regarding computer science and feel more involved in the computing community of women.,C
,
,
Confident ,C
,
,
Aware of the talented girls around me.,A
Confident,C
Motivated to push my way through obstacles and achieve a career with computer science. ,M
,
Confident and informed,C
Motivated to share my knowedlege of coding with my community and inspires to start my own club.,M
,
interested in becoming in involved in computer science organizations in college.,I
confident in my abilities and past accomplishments.,C
creative,O
passionate about connecting with other female students to overcome barriers in the STEM field. ,I
Confident,C
,
Confident about my prospects in the tech industry! ,C
,
Confident in my standing in the computing field ,C
,
"Because of this Award, I am more confident in my place in the world of Computing. It is very encouraging to know I always have a family of women in technology to support me. ",C
confident,C
Confident,C
,
"I am more confident in myself and put myself out there more, ",C
,
confident,C
,
likely to enter a profession of computing or technology. I am also more confident in my computer trchnology abilities. ,M
excited to apply for awards in computing,M
"...likely to pursue a computing degree in college! In fact, it is one of the primary reasons I even decided to continue pursuing computing in my own academics at all!",M
Avidly pursuing a computing career and finding people to use as mentors in the process.,M
committed to becoming a computer scientist and programmer ,I
,
Confident and aware of women in computing!,C
confident in my abilities to succeed in computing.,C
interested in computing ,I
Confident in my computing abilities,C
,
"Confident, and ready to pursue interest in computing.",C
aware of the people who are interested in the same topics as I am.,A
interested in pursing computing ,I
capable of taking the leaps I want to be better in computing and learn more in this field of study.,C
Aware of what I can achieve.,A
,
,
Encouraged to work with computer and learn much more,E
encouraged to promote computing within my community and more aware of the different ways computing can impact others' lives by meeting the other wonderful recipients at the Award Event.,E
,
I am more interested with Cyber Security.,I
Confident as I leave for college,C
,
confident in myself.,C
Confident and inspired to pursue this pathway ,C
,
,
aware that what I do is seen as interesting.,A
Convinced that CS is a good choice for me. ,O
"I am staying persistent in seeking computer courses, even if I have to continue attending two different high schools. ",M
,
"Confident of my self, because of this award I know that I can do whatever I want to do, and that girls can achieve more together.",C
Confident in my computing abilities ,C
I am more fascinated and encouraged into the field of computer science.,E
motivated to continue learning about the STEM fields.,M
,
confident in the computing abilities. ,C
"confident in myself, and my capabilities of being a fearless leader as a woman in technology. ",C
Knowledgeable about NCWIT and the opportunities it presents.,A
confident.,C
,
"Confident in my computing skills, and I am more open and proud of being a woman in technology",C
Determined,M
,
confident,C
,
confident,C
willing to reach out to other girls interested in computing and take computer programming classes.,M
Confident,C
confident as a woman with computing aspirations. I am also more motivated to pursue a career in computing as I am part of a community with motivated young women to support me.,C
Confident,C
,
Confident,C
aware of the opportunities in my community and proud to be who I am,A
,
Likely to pursue a degree in Computer Science. More likely to inspire and push girls into the STEM field.,M
confident and motivated to work towards developing my knowledge in computing and technology.,C
Confident in my computing abilities and want to learn more,C
interested in computer science and want to expand my knowledge in the field.,I
,
,
,
involved in a community where girls are a vital part of the computing world. ,CN
,
"I am more than sure of my major in computer science, and hope to meet other people in college who share the same passion.",C
motivated to pursue more in the computer science field.,M
motivated to pursue a higher goal in computing and work my way towards a successful future.,M
Proud of myself and encouraged to continue on this path. ,E
confident with myself.,C
confident in my computing abilities.,C
Confident in my computing abilities and more encouraged to pursue a career in computer science. I hope to use my knowledge of computing to help my community.,C
confident,C
,
confident in my computing abilities!,C
Confident!,C
interested in trying new things involving computers.,I
confident in my skills and proud of being a girl in STEM,C
Motivated to pursue a career in computing,
,
Confident in my presence in the STEM community,C
,
,
,
,
,
,
,
Confident in my ability to pursue a career in science and technology. ,C
confident in my skills. ,C
confident in myself as a woman who wants to pursue computing.,C
Confident and proud to be a women that is pursuing a career in STEM,C
confident in my place in the tech industry.,C
,
Confident in my abilities in computing and technical skills as a whole.,C
...Confident in myself that I can do hard things.,C
,
"Confident on my ability to succeed, more successful in everything I do, and I no longer let my age control what I am able to do.",C
,
confident,C
connected with women in the technology field. ,CN
confident that I will have the community and support to pursue a career in computing.,C
Inspired to continue my path into the world of STEM and to push through STEM challenges. I'm also more excited to find new ways to build devices and to learn more computer languages. ,M
,
confident,C
excited to attend college ,M
Aware of the amazing accomplishments of other young women in STEM. I feel encouraged to do something as great as what they have done. ,
,
,
Confident,C
,
Confident in my abilities as a leader and a programmer.,C
Motivate. ,M
Likely to pursue a career in computing. ,I
Confident in pursuing a computing career,C
Confident in my computing abilities,C
encouraged to pursue my dreams in computer science and inspired to fulfill my dreams.,E
,
Interested in computing ,I
,
,
,
Confident in my abilities to be successful in the computing industry.,C
,
interested in computing and its applications.,I
empowered,C
aware of the opportunities I have being a woman going into computing,A
confident in my abilities. ,C
Willing to apply for more opportunities in computing.  ,C
,
,
,
Confident in my abilities as a female interested in computing. I now feel that I am a part of a group of women who share this interest and will inspire me to continue computing in the future. It boosted my self esteem and my thoughts about pursuing a computer degree in college. ,C
,
,
confident ,C
,
,
Confident in my technological skills,C
confident in my abilities as a programmer and technological woman.,C
,
Encouraged to act in closing the gender gap in my community.,E
,
Confident in where I can take my skills in computing. ,C
motivated to continue exploring technology and pursuing a technological career.,M
,
,
Confident,C
,
,
confident in my coding skills.,C
confident ,C
Confident,C
confident in my abilities to earn awards and recognition in areas of computing and technology.,C
,
,
,
Supported in my technology interests. ,O
motivated going forward with computer science,M
inclined to pursue a career in computing. Not because of the other women but because I think it's sad I can get an award for doing this when my male counterparts don't. I want to see more coders in general. ,E
Confidant,C
Confidence ,C
Confident. I know that what I'm doing and working towards matters.,C
Confident ,C
,
Confident ,C
,
"interested in pursuing computer science related activities, clubs, and other projects in my community, school and other aspects of my life. ",I
,
Confident that i belong in computer clubs. ,C
,
Confident ,C
,
,
"inclined to pursue a computing career and encouraged that this career path is a fit for me, especially and despite, being a female. ",E
,
Confident in my programming abilities.,C
,
,
,
confident of my computing abilities,C
,
,
,
determined to pursue a career in computing!,M
confident in my ability as a woman in tech. It has given my confidence a boost and I feel like I can do whatever I put my mind to.,C
,
opportunistic.,O
Inspired to get into the computing field as a woman,I
positive about a female in technology. ,M
,
,
certain of my abilities,C
,
Motivated to try and pursue a computing career,M
,
Confident ,C
confident in my computing skills,C
...motivated to fill out applications pertaining to scholarship opportunities in my chosen career field.,M
Confident in my abilities as a computer programmer. ,C
Optimistic about choosing a career in computers,I
Confident,C
Aware of women who compute.,A
Aware of what I can do ,A
,
,
"confident in myself. I was positive that I was not going to receive an award, and was shocked when I had gotten the email saying I had won. It has made me think that maybe I am capable of achieving my dreams.",C
,
Confident in pursuing a career in STEM.,C
,
confident in my computing activities and likely to pursue more opportunities in the field of computer science.,C
"Aware of what I can do, especially since I saw such amazing women there!",A
motivated to continue my plans for Computer Science and technology. I am also more confident about my abilities in computing and what I can do with it. ,M
Confident and Inspired. It reassures me that I'm on the right track. ,C
"interested in computer science, and willing to enter and apply for other competitions and awards. ",I
confident in my computing skills.,C
confident.,C
I realize the impact my work in STEM has on others as well as making me a more well-rounded leader.,C
,
interested in computer science,I
Confident in my abilities in computer science,C
confident with my skills in computing ,C
,
,
,
confident in my computer science skills and leadership ability.,C
Willing to do more work in computing and technology even if not recognized.,M
,
,
Motivated ,M
"I am able to feel a lot more accomplished and reassured that I can do hard things throughout my life, especially in my educational career.",C
aware of opportunities for scholarships out there.,A
confident,C
likely to look at computer based classes,I
happy ,O
,
,
comfortable entering a male dominated field with experiences and resources under my belt.,C
,
,
,
,
Motivated,M
"Open about my achievements. Willing to stand up to the guys, when needed. ",C
,
excited to see where my Computer Science major will take me.,M
Encouraged,E
,
Aware of the type of job opportunities out there.,A
excited about other opportunities NCWIT may provide.,M
I’m more motivated to continue learning about computing on my own.,M
confident in my computing abilities and confident in my career path,C
,
,
,
,
,
Confident in my CS goals fir the future ,C
confident heading into college for CS,C
Aware of the need for thriving women into the IT field.,A
Likely to pursue a career involving computing,M
,
Of the opportunities I have as a women in computing and technology. ,O
,
confident in my computing skills,C
,
Confident in my abilities as a woman in the tech community. ,C
Confident in applying to scholarships.,C
motivated.,M
"adventurous, eager, and curious.",I
,
,
Confident that I'm qualified to pursue computer science,C
,
"Confident, aware, grateful for the opportunity",C
,
confident in my computing abilities ,C
Proud of myself. Even though I didnt Get accepted into my number one choice of college this award has showed that regardless of what college I go to I am still smart. ,C
encouraged to pursue a STEM major and take on more leadership roles.,E
complete,O
Aware of the community - getting to know other amazing and talented women that have used computing to help their individual projects and communities was a big part of it.,A
Confident in myself. I feel like I can accomplish anything now.,C
,
,
connected with women and girls in technology.,CN
,
,
,
Confident in my computing ability. ,C
,
,
,
,
excited about computing!,M
Confident,C
,
aware of the lack of women in CS careers.,A
,
interesting in getting a college education related to computing,I
"confident of my computing ability and ability to earn a technology degree in college, connected to other women in computing and opportunities for jobs, scholarships, meetings, etc. related to the AiC community",C
Confident in my abilities and sure of my decision to join computer science. ,C
confident in myself and know I can get more awards.,C
Inspired to continue my computing education,M
,
I don't know how to answer this question...,B
I am more confident in my skin and feel more comfortable talking to people about my love for computing. I used to shy away from the topic of computing because I thought that people would down on a girl who was doing something that is usually done by men. ,C
,
,
,
,
Confident in my abilities.,C
Aware that I have an impact as a woman involved in computational science.,A
confident with representing women in technology. ,C
Motivated to pursue a computer science degree ,M
,
,
dedicated to pursuing a career in Computing. ,M
,
,
,
inspired by the stories of successful women whom I look up to as role models.,M
Confident in myself and my computing skills.,C
Confident in my capabilities ,C
,
,
Confident in myself. ,C
,
,
,
,
Excited to get my degree in computer science.,M
,
positive that I'm good enough,C
"Because of this award, I am more confident in pursuing higher levels of computer science classes.",C
Confident,C
,
I am accepting myself a bit more,C
confident in myself,C
Awareness of computing opportunities.,A
,
,
Confident ,C
I am more confident of my accomplishments and my interest in computing.,C
,
involved in helping girls in my community learn computer science,E
inspired,I
Confident.,C
confident in my future of computing and connected to other inspiring women in this field.,C
Confident going into a “mans world” as a woman interested in cyber security and computer science. ,C
,
Confident in my abilities,C
Confident in my ability to succeed and at least try out and look for new opportunities.,C
,
"Able to set myself apart from and ahead of the rest of the group, as well as aware of how few women really are in the STEM fields (in the engineering classes I’m taking, the male/female ratio is just about 50/50. I know this is rare)",A
,
,
Confident that I will be able to be a part of a computing community for women.,C
Confident in myself as a leader and my skills in computing. I am more confident I can approach a challenge and succeed in it.,C
,
comfortable to try new things in science.,C
I am more excited about a possible career in computer science. The award has given me some faith in myself that I pursue the path and overcome obstacles. I’ve also become more excited about computer science as a whole since joking the NCWIT community of women who support each other and offer great opportunities in computer science that I never would’ve known without the community. ,M
,
confident in my ability to pursue a computing career.,C
,
excited to study CS,M
I am more certain of having a STEM career in the future.,C
excited to learn more about a career in computing.,M
"confident , because I know that I can do anything I set my mind to. ",
aware that what I do can make a difference.,A
"I am more confident in my ability to perform competitively against my peers with the proper effort.  I see stories of kids my age coding programs that I have never even heard of.  This award reassured me that I have learned a fair number of skills, and that if I continue to apply myself, I can excel.",C
Confident. ,C
"Confident in myself, as well as my computing abilities. It made me more motivated to pursue a career in computer science. ",C
Excited about meeting more women in computing!,M
Confident and honored. ,C
,
,
"Self confident, and encourage ",C
confident of my computing abilities,C
,
,
Inclined to choose a computer science career and work for more Women in CS ,E
Confident,C
confident as a woman pursuing a career in computing.,C
Encouraged to pursue a degree in Computer Science.,E
Focused  toward achieveing goal that I set for myself and and open to other opportunities in computing,M
motivated.,M
,
Aware of the need for women in technology.,A
,
,
,
likey to pursue computer science/software engineering as my intended major in college!,M
Confident in what I am capable of.,C
,
Confident in my computing skills and will have less doubt about pursuing it as a career ,C
confident in my abilities and future.,C
fulfilled and self-satisfied,O
,
,
Inspired to pursue a computing career,M
,
,
Confident in myself.,C
"Confident that I can pursue a career in STEM (computer engineering, specifically).",C
Confident in being a female in computing,C
,
Confident,C
Impressed with myself ,C
confident in my own abilities and accomplishments,C
"confident in my abilities to code, and more excited about pursuing a career in computer science.",C
"Assured in my computing ability, and less likely to be discouraged by being only one of a few women in IT/computer science classes. ",C
,
,
Encouraged to increase the number of females in computer science,E
confident in my abilities ,C
Proud of myself.,O
confident.,C
Motivated to step out of my comfort zone to continue to give back to the technology community. I feel inspired to pursue computer science and my worries of not being able to “fit in” or find people I can ask for help from has now diminished. ,M
,
Excited about my career in computing. ,M
confident in my STEM abilities,C
Happy about being a woman in STEm,O
,
,
Confident ,C
confident,C
motivated to do computer science.,M
"??? Getting recognition was nice but, it didn't have a lasting effect on me. ",B
motivated to pursue a career in CS,M
confident in my computer science abilities. ,C
aware of opportunities for girls in computer science ,A
,
,
Motivated to continue computing ,M
,
,
,
,
,
confident that I can code.,C
,
,
Confident in myself that I can do the things I want to do in my life and career ,C
Confident that I can succeed in a male driven workforce,C
,
confident about accomplishing more,C
,
confident in my computing abilities.,C
,
Involved with other coding and CS opportunities.,I
Confident in my abilities to pursue a degree in computer science.,C
,
,
Passionate to learn about different careers in computers. ,M
,
confident and inspired. I want to do a lot more things in CS.,C
,
,
,
Aware of opportunities I can be a part of,A
confident of my abilities and better suited to accept my accomplishments,C
,
Confident,C
aware of the gender gap in computing.,A
confident in my abilities.,C
Committed to pursuing a computing career. I hope to make a difference in this competitive field and encourage other strong-willed girls to pursue this field,M
,
Confident,C
,
Confident,C
,
confident,C
"Confident in my ability to succeed. I realized that the question I need to be asking myself is not what I should/can do, but to question what is possible. ",C
motivated to come to these events next year and pursue cs with women supporting me.,M
Confident,C
"confident in my computing skills, and more determined to do better in my Computer Science class.",C
,
,
,
Na,B
marketable,O
Hopeful about my dreams,O
confident in my abilities as a writer,C
Confident ,C
confident,C
,
Confident. This was the first time I filled out an application for a scholarship or award and it’s helped me realize what my resume contains and what it’s lacking in. I feel like it’s helped prepare me for filling out college applications and I am so pleased that I can list Regional Affiliate Honorable Mention on my resume! ,C
Motivated ,M
,
likely to get a scholarship,O
confident in my ability to pursue a computing career,C
Aware of other women involved in the field,A
